fecha,cliente_id,segmento_cliente,producto,categoria,cantidad,precio_unitario,descuento,costo_unitario,ingreso_total,ganancia,margen
2023-01-05,C001,Regular,Auriculares,Electrónica,2,80,0.05,55,152,42,0.28
2023-01-18,C002,Ocasional,Camiseta,Ropa,3,25,0.00,12,75,39,0.52
2023-02-03,C003,Premium,Cafetera,Hogar,1,120,0.10,85,108,23,0.21
2023-02-20,C004,Regular,Pantalón,Ropa,2,60,0.05,35,114,44,0.39
2023-03-02,C005,Ocasional,Lámpara,Hogar,1,45,0.00,28,45,17,0.38
2023-03-15,C006,Premium,Tablet,Electrónica,1,320,0.15,240,272,32,0.12
2023-04-01,C007,Regular,Zapatos,Ropa,1,90,0.10,55,81,26,0.32
2023-04-19,C008,Ocasional,Tostadora,Hogar,2,50,0.00,32,100,36,0.36
2023-05-06,C009,Premium,Smartwatch,Electrónica,1,210,0.10,150,189,39,0.21
2023-05-21,C010,Regular,Chaqueta,Ropa,1,110,0.05,70,105,35,0.33
2023-06-04,C011,Ocasional,Almohada,Hogar,4,30,0.00,15,120,60,0.50
2023-06-18,C012,Premium,Monitor,Electrónica,1,260,0.12,190,229,39,0.17
2023-07-02,C013,Regular,Jeans,Ropa,2,70,0.05,45,133,43,0.32
2023-07-16,C014,Ocasional,Batidora,Hogar,1,85,0.00,55,85,30,0.35
2023-08-03,C015,Premium,Auriculares Pro,Electrónica,2,150,0.10,100,270,70,0.26
2023-08-20,C016,Regular,Blusa,Ropa,3,40,0.00,22,120,54,0.45
2023-09-05,C017,Ocasional,Plancha,Hogar,1,75,0.00,50,75,25,0.33
2023-09-22,C018,Premium,Laptop,Electrónica,1,900,0.15,720,765,45,0.06
2023-10-04,C019,Regular,Sudadera,Ropa,2,65,0.05,40,124,44,0.35
2023-10-19,C020,Ocasional,Set Cocina,Hogar,1,140,0.00,95,140,45,0.32
2023-11-03,C021,Premium,Smartphone,Electrónica,3,650,0.20,480,1560,120,0.08
2023-11-18,C022,Regular,Abrigo,Ropa,4,130,0.15,85,442,102,0.23
2023-12-02,C023,Ocasional,Decoración Navidad,Hogar,5,45,0.05,25,214,89,0.42
2023-12-15,C024,Premium,TV 55,Electrónica,2,780,0.25,600,1170, -30,-0.03
2024-01-07,C025,Regular,Guantes,Ropa,3,20,0.00,10,60,30,0.50
2024-01-22,C026,Ocasional,Hervidor,Hogar,1,65,0.00,42,65,23,0.35
2024-02-05,C027,Premium,Tablet Pro,Electrónica,1,520,0.10,400,468,68,0.15
2024-02-21,C028,Regular,Camisa,Ropa,2,55,0.05,32,105,41,0.39
2024-03-03,C029,Ocasional,Espejo,Hogar,1,95,0.00,65,95,30,0.32
2024-03-18,C030,Premium,Cámara,Electrónica,1,680,0.12,520,598,78,0.13
2024-04-02,C031,Regular,Falda,Ropa,2,50,0.00,28,100,44,0.44
2024-04-20,C032,Ocasional,Organizador,Hogar,3,35,0.00,18,105,51,0.49
2024-05-06,C033,Premium,Audífonos,Electrónica,2,140,0.10,95,252,62,0.25
2024-05-23,C034,Regular,Zapatos Sport,Ropa,1,120,0.05,75,114,39,0.34
2024-06-08,C035,Ocasional,Sartenes,Hogar,2,90,0.00,60,180,60,0.33
2024-06-21,C036,Premium,Monitor 4K,Electrónica,1,420,0.15,330,357,27,0.08
2024-07-04,C037,Regular,Shorts,Ropa,3,35,0.00,18,105,51,0.49
2024-07-19,C038,Ocasional,Licuadora,Hogar,1,110,0.00,78,110,32,0.29
2024-08-02,C039,Premium,Smartwatch Pro,Electrónica,1,320,0.10,230,288,58,0.20
2024-08-17,C040,Regular,Chaqueta Ligera,Ropa,1,95,0.05,60,90,30,0.33
2024-09-05,C041,Ocasional,Reloj Pared,Hogar,2,40,0.00,22,80,36,0.45
2024-09-21,C042,Premium,Consola,Electrónica,1,650,0.15,520,553,33,0.06
2024-10-03,C043,Regular,Sweater,Ropa,2,75,0.05,48,143,47,0.33
2024-10-18,C044,Ocasional,Set Baño,Hogar,2,85,0.00,55,170,60,0.35
2024-11-06,C045,Premium,Smartphone Pro,Electrónica,4,820,0.25,620,2460, -20,-0.01
2024-11-22,C046,Regular,Abrigo Invierno,Ropa,5,150,0.20,95,600,125,0.21
2024-12-04,C047,Ocasional,Luces Navidad,Hogar,6,35,0.10,18,189,81,0.43
2024-12-18,C048,Premium,TV 65,Electrónica,3,1100,0.30,850,2310,-240,-0.10
2024-12-22,C049,Regular,Regalo Ropa,Ropa,4,60,0.15,35,204,64,0.31
2024-12-29,C050,Ocasional,Decoración Fin Año,Hogar,5,55,0.10,30,248,98,0.40
